EventType,used Bytes,Js Used,css Used,total Bytes,URL
load,no usage found,-,-,-,https://adservice.google.com/adsid/integrator.js?domain=pulsembed.eu
networkidle0,216,216,0,218,  https://adservice.google.com/adsid/integrator.js?domain=pulsembed.eu
domcontentloaded,no usage found,-,-,-,https://www.google-analytics.com/analytics.js
load,no usage found,-,-,-,https://www.google-analytics.com/analytics.js
networkidle0,41306,41306,0,87420,  https://www.google-analytics.com/analytics.js
domcontentloaded,no usage found,-,-,-,https://onet.hit.gemius.pl/fpdata.js?href=pulsembed.eu
load,no usage found,-,-,-,https://onet.hit.gemius.pl/fpdata.js?href=pulsembed.eu
networkidle0,538,538,0,540,  https://onet.hit.gemius.pl/fpdata.js?href=pulsembed.eu
domcontentloaded,no usage found,-,-,-,https://s.ytimg.com/yts/jsbin/www-widgetapi-vflkA4wlR/www-widgetapi.js
load,no usage found,-,-,-,https://s.ytimg.com/yts/jsbin/www-widgetapi-vflkA4wlR/www-widgetapi.js
networkidle0,20214,20214,0,41390,  https://s.ytimg.com/yts/jsbin/www-widgetapi-vflkA4wlR/www-widgetapi.js
domcontentloaded,no usage found,-,-,-,https://www.youtube.com/yts/jsbin/www-embed-player-vflVJLWWd/www-embed-player.js
load,no usage found,-,-,-,https://www.youtube.com/yts/jsbin/www-embed-player-vflVJLWWd/www-embed-player.js
networkidle0,78949,78949,0,206070,  https://www.youtube.com/yts/jsbin/www-embed-player-vflVJLWWd/www-embed-player.js
domcontentloaded,no usage found,-,-,-,https://www.youtube.com/yts/jsbin/player-vflTctQHP/pl_PL/base.js
load,no usage found,-,-,-,https://www.youtube.com/yts/jsbin/player-vflTctQHP/pl_PL/base.js
networkidle0,687798,687798,0,2712722,  https://www.youtube.com/yts/jsbin/player-vflTctQHP/pl_PL/base.js
domcontentloaded,no usage found,-,-,-,https://www.google.com/js/bg/JOYx3W5PzoQFRZAOzhrT8YIZJDIx1URDMPi7CeVLUwM.js
load,no usage found,-,-,-,https://www.google.com/js/bg/JOYx3W5PzoQFRZAOzhrT8YIZJDIx1URDMPi7CeVLUwM.js
networkidle0,11907,11907,0,11908,  https://www.google.com/js/bg/JOYx3W5PzoQFRZAOzhrT8YIZJDIx1URDMPi7CeVLUwM.js
domcontentloaded,no usage found,-,-,-,https://static.doubleclick.net/instream/ad_status.js
load,no usage found,-,-,-,https://static.doubleclick.net/instream/ad_status.js
networkidle0,56,56,0,58,  https://static.doubleclick.net/instream/ad_status.js
domcontentloaded,no usage found,-,-,-,https://www.youtube.com/yts/jsbin/player-vflTctQHP/pl_PL/remote.js
load,no usage found,-,-,-,https://www.youtube.com/yts/jsbin/player-vflTctQHP/pl_PL/remote.js
networkidle0,32652,32652,0,164072,  https://www.youtube.com/yts/jsbin/player-vflTctQHP/pl_PL/remote.js
